AÃ‘O,ENERO,FEBRE,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOST,SEPTI,OCTUB,NOVIE,DICIE
1989,75,79,82,77,76,73,70,68,69,84,83,85
1991,71,73,0,74,76,72,67,60,61,65,81,80
1992,70,71,67,70,71,60,56,55,60,66,79,79
1993,75,76,75,77,78,63,61,63,71,79,83,74
1994,71,75,78,76,76,67,61,56,58,70,79,73
1995,59,57,74,74,73,76,69,67,60,71,77,75
1996,72,73,78,72,72,71,64,65,64,75,76,73
1997,74,68,54,76,69,73,55,50,58,60,75,56
1998,0,0,0,0,0,0,0,0,53,60,71,73
1999,85,86,86,89,0,0,67,60,66,71,75,76
2000,68,69,84,80,73,0,0,0,78,72,78,83
2001,69,69,79,74,77,70,69,63,70,72,84,88
2002,72,74,75,82,80,78,69,66,66,72,77,82
2003,66,68,71,78,79,75,0,69,73,83,86,84
2004,82,79,75,85,84,75,79,67,67,77,80,82
2005,80,76,74,73,76,68,61,73,76,68,61,0
2006,72,71,79,77,73,70,65,59,61,75,78,76
2007,66,53,70,81,0,0,74,75,72,81,84,88
2008,84,81,83,86,0,0,0,78,80,88,93,90
2009,91,90,92,90,89,86,80,79,68,80,86,77
2010,69,72,78,85,87,86,87,78,82,85,92,91
2011,85,80,0,0,0,0,0,74,74,84,89,88
2012,91,81,74,84,74,66,61,61,60,70,82,76
2013,68,88,0,0,0,0,0,71,68,70,80,85
2014,81,81,82,74,81,74,63,58,62,74,85,79
2016,0,71,75,81,78,71,68,58,67,81,89,84
2017,82,72,86,78,82,80,72,71,71,75,85,83
2018,79,82,75,86,83,77,68,60,65,75,77,67